127.0.0.1 - - [31/Jul/2020:10:20:50 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:20:52 +0900] "GET /WEB-INF/views/home.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:20:57 +0900] "GET /home.do HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:20:57 +0900] "GET /resources/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:20:57 +0900] "GET /resources/bootstrap/js/bootstrap.js HTTP/1.1" 200 136323
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:20:57 +0900] "GET /resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 60174
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:21:26 +0900] "GET /home.do HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:21:26 +0900] "GET /resources/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:21:26 +0900] "GET /resources/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:21:26 +0900] "GET /resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:21:27 +0900] "GET /home.do HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:21:27 +0900] "GET /resources/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:21:27 +0900] "GET /resources/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:21:27 +0900] "GET /resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:22:10 +0900] "GET /home.do HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:22:10 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 200 198313
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:24:57 +0900] "GET /board/list.do HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:41:48 +0900] "GET /board/list.do HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:41:48 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:44:40 +0900] "GET /board/list.do HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:44:40 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:44:42 +0900] "GET /board/list.do HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:44:42 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:44:54 +0900] "GET /board/list.do HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:44:54 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:47:42 +0900] "GET /board/list.do HTTP/1.1" 500 4780
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:48:09 +0900] "GET /board/list.do HTTP/1.1" 500 4780
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:49:57 +0900] "GET /board/list.do HTTP/1.1" 500 4780
0:0:0:0:0:0:0:1 - - [31/Jul/2020:10:50:03 +0900] "GET /board/list.do HTTP/1.1" 200 1165
